id,text,cluster,x,y,date
0,"Лежит Пятачок, без глаза и без ноги .Походит Иа-Иа и спрашивает:- Что случилось , Пятачок ?- Да вот, поспорили с Винни на глаз,что он мне ногу не оторвет.",3,0.70422333,11.33588,
1,"Наркоман поступил на работу в зоопарк.На следующий день ему поручили убратьклетку с черепахами. Вечером работникисобираются в раздевалке, а наркомана нет.Подходят к клетке с черепахами, а тамнаркоман сидит в углу обкуренный и ниодной черепахи нет.- Парень , а где черепахи-то?- Понимаете, чуваки, я открыл клетку,а они как ломанутся...",3,0.027929584,11.513715,
2,В польской тюрьме один заключенный другому :-Из-за евреев сидим !-Так их ведь уже почти не осталось в Польше?-В том-то и дело. Иначе они бы сидели.,7,2.1860232,10.98724,
3,"Идет поп по ночному кладбищу, естественно емужутко до усеру. Вдруг из-за памятника выскакиваетстарушенция:- Благослови батюшка,-- Ох, .; твою мать,- перекрестив ее заорал поп.",3,0.2346105,11.378364,
4,"В троллейбус входит мужик с боксером(кобель).Малой лет четырех, указывая на собаку:- Мама, смотри какие шарики!",3,0.29659188,10.913581,
5,"Троллейбус. Утро. Батя, молоденький старлей,распекает ноющего сына.- Будешь хныкать - всем в детсадике расскажучто ты нытик, прям как девочка.- А я тогда всем расскажу что ты ночью в мойгоршок писяешь!",3,0.03104351,11.09844,
6,"Опять троллейбус. Мама дочке (последней лет 5-7):- Если будешь канючить то никакой шоколадки не получишь.- А я тогда все папе расскажу, что дядя Вася сказалчто у тебя попка круглая.",3,0.2074049,10.888234,
7,"В автобусе (внутригородском). Сидит мужик, лет 40-45,с козлиной бородкой и в шляпе. Напротив сидит молодаямама, с дочкой на руках, лет эдак 5-7. Девочка в упор,из-под лба и не моргая смотрит на мужика. Мужик невыдерживает столь пристального взгляда и начинает расспросы:- Девочка, я тебе кого-то напоминаю?Девочка отрицательно кивает головой.- Может я тебе кого-то напоминаю?Девочка молчит, но взгляда не отводит.- Я похож на твоего папу?Опять отрицательно машет головой.- А может на твоего дедушку?Девочка угрюмо молчит, но не смущается. В это времяокружающий народ уже заинтересовавшись этим полудиалогомпрекратил все разговоры, и внимательно слушает, тем болеечто взгляд у девочки действительно очень пристально-внимательный.Мужика же всеобщее внимание и упорство девочки начинает раздражать.- Так на кого же я похож!!?Девочку этот полуокрик заставляет ответить:- На мамину писю.Что начало творится в автобусе, думаю, рассказывать не надо.",1,-0.80549884,11.487882,
8,"Идет чукча по тундре, убил тюленя, тянет его захвост домой, песню поет:Чукча - хороший охотник!Чукча убил тюленя!Будет много жира!Чукча идет домой!Жена будет рада!Тюлень тяжелый, плавниками в снег упирается. Мимо идет москаль,пожалел чукчу и говорит:- Возьми, чукча, тюленя за голову - тебе легче будет!Чукча подумал, взял тюленя за голову, идет домой и песню поет:Чукча - хороший охотник, Чукча убил тюленя!Будет много жира! Чукча идет домой!Жена будет рада!Однако плохой человек москаль - дом все дальше и дальше!",3,0.35424772,11.638984,
9,"Почему генералы не бегают ???Потому, что в мирное время это вызовет смех,а в военное панику.",0,3.6575089,9.901233,
10,"Первая брачная ночь, муж морально готовит жену...- Дорогая, сейчас будет немного больно, а потом приятно...Через полчаса занятий любовью новобрачная интересуется:- А когда же будет больно?- А вот сейчас кончу и по морде дам.",1,-1.7905269,9.657768,
11,"- Папа, не ходи туда, там лестницы скользкие!- Молчи сопляк .. пляк... пляк ... пляк..",3,0.25801024,10.329611,
12,Как просить милостыню в разных местах,4,2.3091383,8.797749,
13,"На вокзале:- Люди добрые, помогите кто чем может! Карман с кошелькомпаровозом отрезало...",1,-0.9698461,11.782602,
14,"У банка:- Люди добрые, подайте на пропитание! Мой расчетный счет:264758969 МФО 66589, валютный счет:77889/843111В графе наименование платежа, просьба написать:Голодному на пропитание!",1,-0.4118862,10.085412,
15,"У магазина:- Люди добрые! Мои дети только что поели, а зубная щетканедоступна... Подайте, пожалуйста, на дирол или орбитбез сахара! Не дайте детям умереть от кариеса!",4,-0.2842029,10.626023,
16,"Ищу спутника жизни для своей тещи!Она: Жадная, бездушная, властная.Он: Злой, подлый, беспощадный.",5,-0.9670694,8.455973,
17,"Мужик заглядывает в кабинет и говорит:- Здравствуйте! У вас есть кульман!- Здравствуйте! Есть, но она вышла!- Нет! Вы не поняли! Мне нужен кульман! Я - дизайнер!- Вижу, что не Иванов!",1,-0.8570381,10.88426,
18,"Задержался мужик у любовницы и приходит домой очень поздно.Жена: -где был, почему поздно?-Да вот, э-эээ........-Опять, наверно, на собрании задержался партийном?-А, да-да, конечно!-А почему от тебя духами пахнет чужими?-Да это, как его......-Наверно, просто рядом на собрании сидели одни женщины?-Ну да, конечно, дорогая!-А чей это волос у тебя на костюме и след помады на шее?-Да я, да .............-Наверно, давка была в автобусе, когда возвращался?-О, да, да!-Ну, ложись спать, дорогой.Муж раздевается._Постой, а почему на тебе женские трусы?-Маша, ну ты же умная женщина, ну придумай что-нибудь!",1,-1.5921075,10.979336,
19,"Про Винни-пуха(В) и Пятачка(П):(Винни надувает шарик)П: - Лопнет!В: - э-э  (т.е. нет)П: - Лопнет!!(шарик лопается)П: - Я же говорил, что лопнет, а ты еще смеешься (со слезами)В: - Да не смеюсь я, это у меня рот разорвался...",3,0.6605141,11.09315,
20,"Про ковбоя и грузина.Знакомятся ковбой и грузин.Ковбой выхватывает кольты - бах! бах! -растрелял два фонаря над головой- Джон! Профессионал!Грузин выхватывает двухстволку и тоже стреляет вверх, нопромахивается и сносит Джону пол-головы...- Шалико... любитель...",3,0.09176465,11.84203,
