cluster_leiden,rank,score,id,year,month,tags_raw,macro_tags,text_preview
0,1,-0.25463032722473145,318640,2007,11,"[""Украина""]","[""politics_power""]","Украинцы переняли у испанцев корриду, теперь свиньи умирают красиво."
0,2,-0.230607271194458,1363563,2022,11,"[""новогодний"", ""о жизни""]","[""everyday_life"", ""other""]","По мнению всех её знающих, лучшим экспертом-прогнозистом цен на продукты является тётя Фира, которая на вопрос: ""Какие продукты подорожают к Новому Году?"" уже лет так тридцать не ошибается! Её прогноз и на этот год остался неизменным: Таки, фактически, все!"
0,3,-0.22482794523239136,507965,2011,4,"[""Медведев"", ""тв""]","[""politics_power"", ""everyday_life""]","У телевизора. ""Я как любой нормальный человек футбол смотреть люблю, потому что мне кажется, что это интересно""- отметил Дмитрий Анатольевич. - Слышь, Люсь, чё наш президент говорит: - Ты либо ненормальная, либо не человек, выбирай!"
0,4,-0.21371465921401978,329588,2008,1,"[""гаи""]","[""army_police""]",Вчера поздно вечером на центральной улице нашего города произошли столкновения между гаишниками и проститутками. Разборка произошла из-за мест на обочине.
0,5,-0.21243345737457275,-2012900002,2000,1,"[""Березовский""]","[""politics_power""]","Идет авторская программа С. Доренко (СД) с участием Б. Березовского (ББ): СД: В народе про нас говорят, что мы с Вами разговариваем на ""ты"" и, вообще, выражаемся НЕНОРМАТИВНОЙ лексикой... ББ: Ну... Не может такого быть. СД: Так сейчас мы как с Вами будем: на ""ты"" или на ""вы""? ББ: Давайте не будем м…"
0,6,-0.21138805150985718,744376,2015,1,"[""пенсионеры""]","[""other""]","- Какие ваши ощущения от первого дня пенсии? - Такое чувство, что через семь лет пойду в школу ..."
0,7,-0.21112430095672607,636512,2013,4,"[""коррупция""]","[""politics_power""]","В среде чиновников в порядке вещей считается красть, но, боже упаси, назвать это кражей."
0,8,-0.2053457498550415,967370,2018,8,"[""Путин""]","[""politics_power""]","- Владимир Владимирович, а сколько вам лет? - А что? - Идите уже нахуй на пенсию!!!"
0,9,-0.20125973224639893,807662,2016,1,"[""Путин""]","[""politics_power""]","- Путин просрал экономику, скоро жрать будет нечего. - Вань, тебе 32 года, может, уже на работу устроишься? - Мам, ну что ты опять начинаешь?"
0,10,-0.1979743242263794,658678,2013,9,"[""космос""]","[""other""]",Китайские ракетостроители на космический корабль по привычке ставят лейбл D&G.
1,1,-0.23485302925109863,1514979,2025,3,"[""спорт""]","[""other""]","""Есть ли большой спорт после родов?"" Я бы поставил вопрос по-другому: ""Есть ли роды после большого спорта?"""
1,2,-0.2130882740020752,-2022500003,2000,2,"[""23 февраля""]","[""other""]","На 23 февраля родился сам собой тост: - Чтобы вам, мальчики, никогда не пришлось ЗАЧИЩАТЬ Родину... (с) MikeMac"
1,3,-0.20607662200927734,1505148,2025,1,"[""секс""]","[""other""]","- Всё в мире сводится к сексу. Чему тут удивляться-то? - ОК, квантовая механика. Сведи к сексу квантовую механику. - Ебал я вашу квантовую механику!"
1,4,-0.1943957805633545,898709,2017,7,"[""муж и жена""]","[""family_relationships""]","Бабе проще вернуться к бывшему, чем объяснять новому, чё да как."
1,5,-0.19249236583709717,1155217,2020,10,"[""девушки""]","[""family_relationships""]","Сегодня я купила шоколадный торт! Оказывается, торт можно покупать, даже если нет никакого праздника! Они даже не проверяют!"
1,6,-0.1866244077682495,452477,2010,5,"[""фильмы""]","[""other""]","Пробудившийся вулкан снова заснул во время демонстрации фильма ""Утомленные солнцем-2"""
1,7,-0.18552494049072266,1162711,2020,11,"[""коронавирус""]","[""other""]",Моя борьба с открыванием пакетиков в магазине пока заканчивается заплёванной маской изнутри.
1,8,-0.1826767921447754,626202,2013,2,"[""23 февраля""]","[""other""]","Я не покупал носки, потому что надеялся на 23-е февраля. Зашибись, подарили две рубашки и свитер. Завтра пойду за носками."
1,9,-0.1761566400527954,575673,2012,4,"[""интернет""]","[""it_internet""]","ОДНОКЛАССНИКИ - страшный сайт! Ко мне просятся в друзья натяжные потолки, шторы, шкаф-купе... Не помню, чтобы в школе со мной такие учились."
1,10,-0.17140895128250122,769737,2015,6,"[""диета""]","[""other""]","Женщина перед зеркалом: — Ой, потолстела, худеть надо, волосы плохие, одеть нечего, щеки как у хомяка, жировые складки, живот свисает, ляжки огромные. Мужчина перед зеркалом: — Пофиг... Красавчик!"
2,1,-0.28604477643966675,15304,1997,7,"[""работа""]","[""work_professions""]","Старому Рабиновичу все надоело. Он решил уйти на пенсию и оставить свой бизнес (по производству гвоздей) своим трем сыновьям. Сыновья решили,что они могут значительно увеличить доходы,если они улучшат рекламу. Не прошло и недели, как старый Рабинович, как обычно в воскресенье, проехался окрестностя…"
2,2,-0.2693362832069397,491537,2011,1,"[""автобус"", ""объявления"", ""рыбалка""]","[""everyday_life""]","Рассеянный рыбак забыл свой улов в автобусе под сиденьем. Через три дня в местной газете появилось объявление: ""Оставивший корзину с рыбой в автобусе No 47 может зайти в гараж и забрать автобус""."
2,3,-0.25148749351501465,503013,2011,3,"[""Рабинович""]","[""character_cycles""]","Из поминальной речи: - Господин Рабинович был настоящий праведник, единственный в своём роде. Какая жалость, что такие люди умирают не каждый день!"
2,4,-0.24049299955368042,-482400001,1996,8,"[""Рабинович""]","[""character_cycles""]","В период Челюскинской эпопеи был издан указ, запрещающий по почте, телеграфу и т.д. передавать сообщения, не относящиеся к челюскинцам - для облегчения связи на время спасательных операций. Так вот: Рабинович отправил такую телеграмму: ``Несмотря на то, что челюскинцев до сих пор не сняли со льдины…"
2,5,-0.22993528842926025,551085,2012,1,"[""Рабинович""]","[""character_cycles""]","Вопрос Рабиновича после лекции: - А если мы догоним Америку, можно мне будет там остаться?"
2,6,-0.21141719818115234,727555,2014,10,"[""Рабинович""]","[""character_cycles""]","Яков Моисеевич Рабинович постепенно с грустью начал ощущать, что их постельные битвы с супругой Сарочкой превратились в дружеские встречи ветеранов."
2,7,-0.20309913158416748,491536,2011,1,"[""Рабинович""]","[""character_cycles""]","Рабинович жалуется приятелю: - Все эти профессиональные стрессы меня таки доконают. Я страдаю мигренями, давление зашкаливает, сплю ужасно, у меня только что нашли язву. Если я не уволюсь, меня наверняка ждёт либо инсульт, либо инфаркт. - Что же тебя держит? - Да уж больно на нашей фирме выгодные у…"
2,8,-0.19452059268951416,-112000002,1998,11,"[""Рабинович""]","[""character_cycles""]","- Рабинович, как вы посмели, заполняя анкету, в графе ""иждивенцы"" написать ""государство""?!!"
2,9,-0.1942005753517151,-9963400,2002,6,"[""рыбалка""]","[""other""]","Вечер над рекой. Старый рыбак, ничего не поймав, сматывает удочки. Бормочет: ""Если бы это так не успокаивало, удавил бы всех!"""
2,10,-0.18418705463409424,617359,2012,12,"[""Рабинович""]","[""character_cycles""]","Рабинович в 90-е годы работал банкиром, а Цукерман возглавлял группировку рэкетиров. Сейчас оба - депутаты Государственной Думы. Цукерман: - Рабинович, а вы помните, где взяли свой первый миллион? Рабинович: - Я точно не помню, где именно его заработал, но точно помню, как отдавал его вам."
3,1,-0.37048882246017456,133096,2004,12,"[""Буратино""]","[""character_cycles""]","Приходит Буратино к папе Карло и рыдает: - Ну почему, почему ты сделал меня таким? - Каким, Буратино? - Без сучка! Без задоринки!"
3,2,-0.3080061674118042,-10069690,2001,1,"[""Штирлиц""]","[""character_cycles""]","Борман Мюллеру: - Вчера на Штирлице новый детектор лжи проверяли. Я ему: ""Ваша фамилия?"" Он: ""Исаев."" Прибор молчит. Я: ""Профессия?"" Он: ""Русский шпион."" Прибор опять молчит. Мюллер: - Говорил я тебе, напиши рапорт... Вечно неисправную технику нам шлют!!!"
3,3,-0.29912620782852173,1413158,2023,8,"[""о жизни""]","[""other""]","- Слыхал? В Париже, таки, запретили аренду электросамокатов. - Это радует. Теперь шансы увидеть Париж и не умереть - резко выросли..."
3,4,-0.2731955647468567,812581,2016,2,"[""водка""]","[""everyday_life""]","Есть женщины, с которыми хочется выпить. Есть женщины, за которых хочется выпить! Есть женщины, из-за которых хочется выпить. В любом случае без поллитра не обойтись! Вот она, причина мужского алкоголизма!"
3,5,-0.25904911756515503,-10011063,2001,11,"[""новогодний""]","[""everyday_life""]","Рецепт салата «Новогодний»: Взять 100 граммов оливье, добавить 100 граммов водки, затем добавить еще 100 граммов водки, потом добавить 150 граммов водки и 200 граммов коньяка по вкусу. После этого опустить лицо в тарелку - салат готов!!!"
3,6,-0.25896382331848145,-2032400005,2000,3,"[""Шерлок Холмс""]","[""other""]","Шерлок Холмс просыпается утром и говорит Ватсону: - Вы смотрели всю ночь порнуху. - А как вы догадались, Холмс? - Во-первых, у вас глаза красные. - Правильно, а во-вторых?.. - А во-вторых, у меня больше ничего нет."
3,7,-0.24363791942596436,496842,2011,2,"[""реклама"", ""сигареты""]","[""other""]","Новый ""рекламный"" слоган на пачках сигарет: Минздрав предупреждает.., а мы гарантируем вы умрете не своей смертью (+) (Прима - Люкс)"
3,8,-0.22542732954025269,658710,2013,9,"[""аптека""]","[""other""]","Половина аптечных лекарств не дотягивает по своей полезности до раствора медицинского спирта в дистиллированной воде, а другая половина превосходит этот раствор по вредности."
3,9,-0.22315502166748047,-42500028,1998,4,"[""Шерлок Холмс""]","[""other""]","Шерлок Холмс прочитал заметку в газете о своей сметри. Звонит Ватсону: -Послушайте, дорогой Ватсон, вы читали сегодняшний выпуск.... -О...Холмс, какое горе, какое горе, примите сердечнейшие соболезнования... Я уже и миссис Хадсон сообщил, как она расстроена... Кстати, Холмс, откуда вы звоните?"
3,10,-0.2086477279663086,471123,2010,9,"[""водка""]","[""everyday_life""]",Высокие расходы россиян на водку позволяют россиянкам существенно экономить на косметике.
4,1,-0.32092201709747314,1515436,2025,3,"[""девушки""]","[""family_relationships""]","Если девушка на свидании ставит телефон в режим полёта, то, скорее всего, вы не единственный, кто пользуется услугами этой авиакомпании..."
4,2,-0.24029803276062012,-1022200010,1999,2,"[""парашют""]","[""other""]","Как правильно уложить парашют. Пособие. Издание 2-е, исправленное."
4,3,-0.2267184853553772,-9969570,2002,5,"[""пасха""]","[""other""]",Новый прикол для новых русских! Красить на пасху мерсы в разные цвета и врезаться!
4,4,-0.15998625755310059,-10069687,2001,1,"[""парашют""]","[""other""]","Надпись над выходом в тренировочном самолете: Уважаемые курсанты, перед выброской из самолета, не забывайте свои парашюты, о парашютах оставленных другими курсантами, своевременно сообщайте пилотам или наземной медицинской команде..."
4,5,-0.15449756383895874,1568996,2025,12,"[""новогодний"", ""о жизни""]","[""everyday_life"", ""other""]","- Слыхал? Говорят, что, возможно, на новогоднюю ночь мобильный интернет отключат.... - Этакую свинью... Да в год лошади..."
4,6,-0.13956916332244873,622335,2013,1,"[""парашют""]","[""other""]","Бесконечно тяжело, в чудный летний день, видеть над собой бескрайнее синее небо, причудливые фигуры пушистых облаков, яркое ласковое солнце. Когда все это должен перекрывать купол парашюта."
4,7,-0.13878542184829712,933811,2018,2,"[""врачи"", ""дети"", ""школа""]","[""work_professions"", ""education_children""]","Приходский врач был по совместительству учителем в воскресной школе. Он спрашивает мальчугана: - Скажи, мой юный друг, что мы должны сделать, чтобы попасть на небо? - Умереть, - отвечает мальчик. - Это верно, но что мы должны сделать перед этим? - Вызвать доктора!"
4,8,-0.1366196870803833,-482300003,1996,8,"[""гаи""]","[""army_police""]",Один ГАИшник - мастер машинного доения. Два Г. - бригада машинного доения. Три Г. - тригада машинного доения.
4,9,-0.13269221782684326,301279,2007,7,"[""парашют""]","[""other""]","Китайские спортсмены по прыжкам с парашютом собрали в воздухе иероглиф: ""Нам негде жить""!"
4,10,-0.12943321466445923,283134,2007,3,"[""новые русские""]","[""other""]","Новый русский приходит в автосалон и говорит: ""Я, мол, хочу брать партию 100 тысяч штук, но перед этим провести собственное тестирование"". Работникам автосалона жалко свои авто, но 100 тысяч штук... Короче согласились. Выбирает он пять супер-пупер иномарок, гонит их на полигон и запускает по очеред…"
5,1,-0.25497835874557495,23605,2003,1,"[""Билл Гейтс""]","[""it_internet""]","Встречаются два юзера. Один говорит: - Слышал? Билл Гейтс-то, оказывается, немец! - Почему? - Слово ""глюк"" для него переводится как ""счастье""..."
5,2,-0.23782563209533691,-73100004,1998,7,"[""работа""]","[""work_professions""]","Менеджер показывает дотошному покупателю внутренности компьютера, объясняет, что к чему... Покупатель: ""А что здесь?"" (показывает пальцем на прилепленную каким-то сборщиком внутри корпуса, под винчестером, жвачку...) Менеджер: ""Э-э-э... пластиковый датчик температуры."""
5,3,-0.2349124550819397,1033966,2019,7,"[""отдых""]","[""other""]","- Что будешь делать в отпуске? - А что, и в отпуске тоже надо что-то делать?!"
5,4,-0.19771921634674072,19488,2002,12,"[""программист""]","[""work_professions""]","“Программисты и Новый год” Все наше ядро навиндозилось до синих окон на мониторах. Связь со всемирной сетью прервалась еще в час ночи. После того как мы в пятый раз отформатировали стаканы, некоторым потребовалась перезагрузка. Трое пошли сливать драйвера, там же и зависли. Сканирование стола показ…"
