cluster_leiden,rank,score,id,year,month,tags_raw,macro_tags,text_preview
0,1,0.3570542335510254,853356,2016,10,"[""Украина""]","[""politics_power""]","То, что Порошенко поднялся в рейтинге богатейших украинцев на 4-е место, - это элемент гибридной войны России по дискредитации президента Украины."
0,2,0.40821385383605957,1124090,2020,6,"[""Путин""]","[""politics_power""]","Чем больше вводят санкций против России, тем больше появляется президентских сроков у Путина."
0,3,0.4281442165374756,429022,2009,12,"[""нанотехнологии""]","[""other""]",Российские нанотехнологии это мегафинансирование и нанорезультат.
0,4,0.4346063733100891,1172008,2020,12,"[""Медведев""]","[""politics_power""]","В связи с принятием закона о неприкосновенности бывших президентов, по ходу, Медведев может стать самым дорогим киллером России."
0,5,0.44293200969696045,538320,2011,10,"[""политика""]","[""politics_power""]",Президент Медведев – гарант Конституции РФ. Премьер Путин – гарант президента Медведева.
0,6,0.4437311887741089,607779,2012,11,"[""Путин""]","[""politics_power""]","После полёта Путина на дельтаплане рейтинг партии ""Единая Россия"" снова возрос до 146%."
0,7,0.4629873037338257,532743,2011,9,"[""политика""]","[""politics_power""]","На самом деле в истории России случился поворотный момент: теперь два срока президентом будет ВВП, затем восстанет ЕБ, а там уже и до генсеков рукой подать."
0,8,0.46337956190109253,898878,2017,7,"[""санкции""]","[""politics_power""]","За введение новых санкций против России проголосовало 99% американских сенаторов и конгрессменов. Как заявил российский МИД, это свидетельствует об острой внутриполитической борьбе в Соединенных Штатах."
0,9,0.4737158417701721,132914,2004,12,"[""Путин""]","[""politics_power""]","Владимир Путин заявил, что продажа Юганскнефтегаза было осуществлена «абсолютно рыночным способом». Приводим список участников рынка: - ОМОН - Генеральная прокуратура - Налоговая инспекция - Басманный суд - Лефортовский следственный изолятор"
0,10,0.4763966202735901,507966,2011,4,"[""Медведев""]","[""politics_power""]","Похоже Медведев скоро станет первым в мире не бывшим, а б/у президентом."
1,1,0.4422100782394409,672713,2013,12,"[""девушки""]","[""family_relationships""]","С женским телом всегда легче договориться, чем с самой женщиной."
1,2,0.4437345266342163,502637,2011,3,"[""муж и жена""]","[""family_relationships""]",Молодая жена продлевает мужчине молодость и укорачивает жизнь.
1,3,0.4483600854873657,517902,2011,6,"[""девушки"", ""любовь""]","[""family_relationships""]","Женщину надо любить так, чтобы ей в голову не пришло, что кто-то другой может любить её сильнее."
1,4,0.45450276136398315,812364,2016,2,"[""мужчины""]","[""family_relationships""]","Упрекать девушку в недостатках — это не по-мужски. Девушку нужно принимать такой, какая она есть. И потихоньку начинать подыскивать другую."
1,5,0.461405873298645,1154529,2020,10,"[""девушки""]","[""family_relationships""]","Свою девичью фигуру мне удалось не только сберечь, но и удвоить..."
1,6,0.4696028232574463,649752,2013,8,"[""девушки"", ""секс""]","[""family_relationships""]","Девочки тоже хотят секса, просто они называют это романтикой."
1,7,0.4756438136100769,1013177,2019,4,"[""интернет""]","[""it_internet""]",На сайтах знакомств женщины часто не указывают возраст своих фотографий.
1,8,0.47764086723327637,532921,2011,9,"[""муж и жена""]","[""family_relationships""]",В наших отношениях случались вещи похуже секса...
1,9,0.47801321744918823,476492,2010,10,"[""секс""]","[""other""]","Лучшая подруга, она как лучший друг. Только с ней ещё и сексом заняться можно."
1,10,0.47860950231552124,626335,2013,2,"[""мужчины""]","[""family_relationships""]",У настоящих мужчин — женщина счастливая. У остальных — сильная.
2,1,0.3859819769859314,727705,2014,10,"[""муж и жена""]","[""family_relationships""]","Жена спрашивает мужа: - Что у тебя с пальцем? - Порезал. ------------------------ Муж спрашивает жену: - Что у тебя с пальцем? - Ты представляешь, тут такая история! Пошла я, значит, с утра за молоком и дай, думаю, зайду к Люське. Ну, ты её знаешь, она ещё в магазине работала... Спустя 10 минут...…"
2,2,0.397121787071228,597609,2012,8,"[""девушки"", ""мужчины""]","[""family_relationships""]","- Как у тебя с твоей девушкой? - Мы расстались. - А чего? - Поругались. Она кричит: - Ты не любишь меня. Я ей: - Оля, да люблю я тебя! - А она? - А она Лена."
2,3,0.4004290699958801,756236,2015,3,"[""девушки"", ""мужчины""]","[""family_relationships""]","- А вы кто? - Я женщина вашей мечты! - Да? Нет, я не о такой мечтал! - А сбылась такая!"
2,4,0.4006624221801758,817881,2016,3,"[""муж и жена""]","[""family_relationships""]","Жена мужу: - Ты работу любишь больше, чем меня! - С чего ты взяла? - У тебя вечером, перед сексом со мной, ТАК не стоит, как утром перед работой!"
2,5,0.40447354316711426,527762,2011,8,"[""смс""]","[""other""]","Разговаривают два друга: - Она мне вчера смс прислала: Если ты меня любишь, то позвони мне! - Ну... ты позвонил? - Нет - Мужииик! А она тебе позвонила? - Нет - Вот сука!"
2,6,0.41203153133392334,663312,2013,10,"[""о жизни"", ""объявления""]","[""other""]","- Здравствуйте, я по объявлению! А дублёнка за 3 тысячи у вас какого размера? - А вам какой надо? - Мне бы 52-ой! - Подберём! - Ой, простите, а на жену не найдётся тоже чего-нибудь недорого? - Найдём! - Простите ещё великодушно за нескромный вопрос, а у вас в магазине распродажа что ли? - Распродаж…"
2,7,0.41227084398269653,1047060,2019,9,"[""деньги"", ""муж и жена""]","[""family_relationships"", ""everyday_life""]","Муж говорит жене: - Когда тебе нужны деньги, ты мила и любезна со мной. - Но я всегда любезна с тобой. - Вот именно!"
2,8,0.4218568801879883,822937,2016,4,"[""муж и жена""]","[""family_relationships""]","Жена причитает: - Как ты мог, Вася! Ну как же ты мог! Муж: - Лена, ты о чём?! Что такое? Жена, не обращая внимания, продолжает: - Как ты мог! Эх, Вася-Вася... - Да что ты, Лена, ведь я же ничего... Жена, перебивая: - Вот именно, Вася! Ты ничего! Ничего ты уже не можешь. А как ты мог, Вася! Как же т…"
2,9,0.4291079044342041,631379,2013,3,"[""муж и жена""]","[""family_relationships""]","- Дорогой, скажи мне какое платье из этих двух взять? - Если нравятся – бери оба! - Ну как всегда от тебя никакой помощи!"
2,10,0.43346160650253296,1520946,2025,4,"[""муж и жена"", ""работа"", ""секс""]","[""family_relationships"", ""work_professions""]","Звонит муж жене с работы: - Алло, дорогая, приезжай ко мне в офис, устроим ураганный секс прямо на столе! - Так у тебя ж секретарша... - А что, можно? Ну тогда всё, пока!"
3,1,0.44759851694107056,164180,2005,5,"[""Чебурашка""]","[""character_cycles""]",Даже у стен есть уши успокаивал крокодил гена Чебурашку1
3,2,0.4625242352485657,97126,2004,5,"[""кошки""]","[""animals""]","Один мальчик был очень страшненьким, ну таким страшненьким, что, когда он играл в песочнице, кошки пытались его закопать."
3,3,0.46501457691192627,456949,2010,6,"[""животные""]","[""animals""]","Кролик хотел узнать удава поближе. Теперь, он знает его изнутри."
3,4,0.481392502784729,1182581,2021,1,"[""кошки""]","[""animals""]",В случае стресса разбить стекло и погладить котёнка.
3,5,0.4890013337135315,716408,2014,8,"[""приметы""]","[""other""]","Он был таким невезучим, что черные кошки плевали через левое плечо, когда он перебегал им дорогу."
3,6,0.4996054172515869,873815,2017,2,"[""кошки""]","[""animals""]","Сколько кота не корми, а в его желудке место для попугая всегда найдётся."
3,7,0.5019820332527161,962216,2018,7,"[""веган""]","[""other""]",В тихом вегане черви водятся.
3,8,0.5023745894432068,1098480,2020,3,"[""коронавирус"", ""кошки""]","[""animals""]","Мой кот начинает проявлять нервозность, потому что я уже несколько дней постоянно нахожусь в его квартире..."
3,9,0.5072944164276123,562902,2012,2,"[""диета""]","[""other""]","Курс лечебного голодания проходит успешно, если ты с интересом начинаешь принюхиваться к кошачьему корму..."
3,10,0.5174838304519653,367556,2008,10,"[""животные""]","[""animals""]","Пока удав настраивался покушать, кролик трахнул его восемь раз. © konde13"
4,1,0.3583865761756897,13624,1997,10,"[""такси""]","[""everyday_life""]","Едет такси по городу. Вдруг останавливает такси бабка и говорит: - Милок, до кладбища не подбросишь? Таксист посмотрел на часы, а на часах 12 часов ночи.. Говорит бабке: - Садись, старая, подвезу.. Подвез, короче, как только бабка за дверь - он сразу дверь захлопнул и на газ. Смотрит в зеркало, а б…"
