cluster_final,rank,score,id,year,month,tags_raw,macro_tags,text_preview
0,1,-0.19856536388397217,318640,2007,11,"[""Украина""]","[""politics_power""]","Украинцы переняли у испанцев корриду, теперь свиньи умирают красиво."
0,2,-0.18295633792877197,1234258,2021,7,"[""о жизни"", ""пенсионеры""]","[""health_medicine"", ""absurd_philosophy""]","Тайные названия пенсий: 400 000 - А теперь попробуй жить на то, что успел наворовать; 300 000 - Чья-то жена; 200 000 - Чей-то сын; 100 000 - Чей-то муж; 30 000 - Сука! заработал в советское время; 10 000 - Что ж ты никак не сдохнешь!"
0,3,-0.14260536432266235,537985,2011,10,"[""Медведев""]","[""politics_power""]","Медведев на совещании в МВД: - Мы оснастим нашего полицейского современным компьютером, радаром, алкотестером, индификатором, видеокамерой! Вопрос из зала: - А не тяжело ему будет за преступниками бегать? - Хороший вопрос... Пожалуй, достаточно будет свистка!"
0,4,-0.12879514694213867,394581,2009,4,"[""грипп"", ""Украина""]","[""politics_power"", ""health_medicine""]",В связи с эпидемией свиного гриппа в Украину уже завезена партия марлевых повязок с вырезом под пятачок.
0,5,-0.12824267148971558,853494,2016,10,"[""муж и жена""]","[""family_relationships""]","Недавно узнала, что мужские яички на рынке донорских органов стоят 4 миллиона евро. Смотрю на спящего мужа, и эта информация не даёт мне покоя..."
0,6,-0.1279587745666504,1428561,2023,11,"[""политика""]","[""politics_power""]","А все-таки американцы крутые, потому что придумали черную пятницу. Это когда любой черный может зайти в магазин и взять всё, что ему хочется, абсолютно бесплатно."
0,7,-0.12720882892608643,858473,2016,11,"[""звёзды"", ""сбербанк""]","[""media_popculture"", ""finance_economy""]","Стивен Сигал: - Вчера на мой счёт в Сбербанке кто-то ошибочно перевёл 73 доллара. - Это не ошибка, это пенсия."
0,8,-0.12057173252105713,727691,2014,10,"[""Украина""]","[""politics_power""]","Читал учебник по истории Украины. За истребление динозавров, суки, ответите!"
1,1,-0.16607093811035156,287587,2007,4,"[""Абрамович""]","[""politics_power""]","Блондинка заполняет анкету на сайте знакомств... Вопрос: ""Какое мужское имя вам нравится больше других?"" Ответ: ""Абрамович""."
1,2,-0.10503900051116943,1429276,2023,11,"[""сбербанк""]","[""finance_economy""]",- А я нашел идеальный способ отличать телефонных мошенников! - И как? - Да просто отправил в черный список номер настоящего Сбера!
1,3,-0.08935022354125977,631806,2013,3,"[""муж и жена""]","[""family_relationships""]","Утром после корпоратива самое страшное это не запах перегара и не головная боль, а восклицание жены: - Ну и красавец... Всё помнишь?!"
1,4,-0.08323365449905396,491406,2011,1,"[""муж и жена""]","[""family_relationships""]","Мужик провалился в колодец и просидел там 5 дней. Спасатели нашли его и вытащили, тут же вызвали жену. Жена очень радовалась и прыгала от счастья, так как думала, что никогда не увидит своего мужа трезвым."
1,5,-0.08141845464706421,607609,2012,10,"[""студент""]","[""education_children""]","- Ну ты чего начинаешь-то? Нормально же сидели, общались... - Вы на билет отвечать будете?"
1,6,-0.07822328805923462,622506,2013,1,"[""муж и жена""]","[""family_relationships""]","Муж застукал жену с любовником, поглядел на них и с радостным криком ""Дима свобо-оден!"" скрылся в неизвестном направлении."
1,7,-0.0762590765953064,300568,2007,7,"[""реклама""]","[""consumer_services""]","на тему рекламы - И как мне ему понравиться?? Надо стать.... - Кем!? кем надо стать!?? Не кем, а как."
1,8,-0.0712621808052063,765021,2015,5,"[""работа""]","[""work_professions""]",— Какой общий стаж работы по специальности? — Я же устраиваюсь на должность уборщицы. — Почему вы решили убирать именно наш туалет?
2,1,-0.16271328926086426,983068,2018,11,"[""мужчины""]","[""sex_gender""]","- Молодой, знаменитый, богатый, талантливый, умный, красивый, честный... - Можно всех посмотреть?"
2,2,-0.13100260496139526,704711,2014,6,"[""муж и жена""]","[""family_relationships""]",После фразы жены “Так хочется жареной соленой клубники” отец семерых детей потерял сознание.
2,3,-0.12803006172180176,502839,2011,3,"[""водка"", ""девушки""]","[""sex_gender"", ""alcohol_smoking_drugs""]",Девушка поела мороженое с водкой. Простыла в стельку.
2,4,-0.12683409452438354,645487,2013,7,"[""геи""]","[""sex_gender""]","Через двести лет геи научились рожать, да только дети у них получались какие-то говнистые..."
2,5,-0.12118560075759888,602388,2012,9,"[""объявления""]","[""consumer_services""]",Вылечиваю по фотографии! Отбеливаю зубы! Photoshop в 4-ом поколении!
2,6,-0.11965656280517578,236833,2006,6,"[""фильмы""]","[""media_popculture""]","- Помните в фильме ""Вспомнить все"" со Шварценнегером про Марс - там была такая женщина-мутантка с тремя грудями? Помните? Вот видите... Это-то вы помните, а третий закон Ньютона - нет!"
2,7,-0.10952377319335938,403610,2009,6,"[""фильмы""]","[""media_popculture""]","Оказывается, большинство немецких порнофильмов основано на реальных событиях..."
2,8,-0.10864031314849854,538468,2011,10,"[""Абрамович""]","[""politics_power""]","Всем поровну. Мужу - носки, жене - шубу. Абрамовичу - яхту, мне - пособие по старости."
3,1,-0.18354356288909912,626200,2013,2,"[""интернет""]","[""it_internet""]","- Сейчас преступники скачивают из Интернета уголовные дела и учатся по ним. - Умные, смотри-ка. - Умные скачивают только нераскрытые дела."
3,2,-0.16028833389282227,1116216,2020,5,"[""коронавирус""]","[""covid_pandemic""]",Изменения в театре в период пандемии коронавируса: Отелло задушит Дездемону бесконтактно.
3,3,-0.14803826808929443,658400,2013,9,"[""интернет""]","[""it_internet""]","Смотрю я на эти запреты трекеров судом, на эти гениальные интернет-законы. Совсем без ума, как дети малые. Интернет они блин запретить хотят. Идите сначала наводнение на Дальнем Востоке запретите. Потренируйтесь, ага."
3,4,-0.13965672254562378,581239,2012,5,"[""пошлые""]","[""sex_gender""]",- Почeму ты матeришься? - Пoтому что поcледовательная cмена cостояний и рeплик некотoрых индивидуумов угнeтает моё сoзнание. - Чтo? - Иди нахуй
3,5,-0.13710230588912964,1555694,2025,10,"[""кино""]","[""media_popculture""]","Нетфликс совсем сдулся. Вчера смотрел сериал про еврейские семьи, торгующие алмазами, и вы не поверите, но все роли в нём играют настоящие евреи и нет ни одного негра, трансвестита, лесбиянки или гея."
3,6,-0.13508999347686768,527271,2011,8,"[""тёща""]","[""family_relationships""]","Тёща мотоциклиста, проехав без шлема в люльке 20 километров, стала насекомоядной."
3,7,-0.13261568546295166,1208369,2021,4,"[""дети""]","[""education_children""]","Если дети кричат из соседней комнаты: ""Мама, папа, не беспокойтесь! Все в порядке!"" - это офигеть какой повод для беспокойства!"
3,8,-0.1240728497505188,631365,2013,3,"[""о жизни""]","[""absurd_philosophy""]","Из всех животных только человек умеет смеяться, хотя как раз у него для этого меньше всего поводов. © Эрнест Хемингуэй"
4,1,-0.20407307147979736,833732,2016,6,"[""Москва""]","[""cities_places""]","Те, кто жалуются, что в Москве раскопали все улицы, никогда не жили в провинции. В Москве хотя бы есть уверенность, что закопают обратно."
4,2,-0.18152761459350586,389527,2009,3,"[""врачи""]","[""health_medicine""]","Объявление на сайте знакомств: Холостой врач-гинеколог, без вредных привычек, ищет свою вторую половинку. Где ты, моя дорогая, любимая и единственная? Прием в будние дни с 10 до 17 ч., по записи."
4,3,-0.17258697748184204,448304,2010,4,"[""объявления""]","[""consumer_services""]","Объявление. Одинокий, флегматичный, молодой человек познакомится с апатичной девушкой для длительных, вялых отношений. Желательно по переписке."
4,4,-0.14167475700378418,-1022700003,1999,2,"[""Винни-Пух""]","[""literature_folklore_characters""]",Надпись на доме Винни Пуха - Посторонним в Ж.
4,5,-0.1378745436668396,1233986,2021,7,"[""космос""]","[""science_space""]","Президент компании Aerospace Dongfanghong Satellite звонит Рогозину: - Дмитрий Олегович, мы тут новый спутник запускаем, будь другом, посоветуй как его лучше назвать? - Иди нахуй! - Спасибо! Новость дня - ""Китай успешно вывел на орбиту спутник Tinahui-1-04 для проведения научных экспериментов"""
