raw_tag,raw_tag_count,mapped_macro_tag,audit_status,audit_rationale,example_joke_ids
девушки,335,sex_gender,confident,The raw tag has a direct semantic match to the assigned macro-category.,51414;481470;486442;491295;491414
муж и жена,263,family_relationships,confident,The raw tag has a direct semantic match to the assigned macro-category.,443933;452858;461783;461778;477039
о жизни,232,absurd_philosophy,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",527593;575530;587064;592708;602353
вовочка,219,education_children,confident,The raw tag has a direct semantic match to the assigned macro-category.,-422500004;-421900010;-432500001;-432500002;-432500005
студент,214,education_children,confident,The raw tag has a direct semantic match to the assigned macro-category.,-412200003;-412200009;-422300014;-442900003;-442600004
работа,202,work_professions,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-422000003;15304;-12900015;-52800005;-52200002
мужчины,187,sex_gender,confident,The raw tag has a direct semantic match to the assigned macro-category.,461324;461340;481723;496827;507983
Путин,168,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-10095225;-10080430;-10059126;-10026309;-10011069
политика,155,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-71500005;-1062900002;-2032900010;-2032700003;-10059128
врачи,151,health_medicine,confident,The raw tag has a direct semantic match to the assigned macro-category.,-10047454;-9969162;24529;28561;28254
гаи,144,law_crime,confident,The raw tag has a direct semantic match to the assigned macro-category.,-442000005;-441900005;-462000008;-482300003;-482300004
интернет,135,it_internet,confident,The raw tag has a direct semantic match to the assigned macro-category.,-1072100002;-10026312;55968;77815;106746
дети,131,education_children,confident,The raw tag has a direct semantic match to the assigned macro-category.,-503000006;-9969157;363528;367695;415216
Украина,120,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-451800001;10772;-62400005;-71600001;-1032300004
авто,119,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,338265;347015;354475;359406;367685
новогодний,105,religion_holidays,confident,The raw tag has a direct semantic match to the assigned macro-category.,-492500017;-10011063;-9995059;19335;19340
коронавирус,102,covid_pandemic,confident,The raw tag has a direct semantic match to the assigned macro-category.,1087388;1087066;1097756;1097767;1097772
деньги,98,finance_economy,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",42733;461629;477057;476679;486603
Одесса,95,cities_places,confident,The raw tag has a direct semantic match to the assigned macro-category.,-33100005;-52700004;-61500003;-82800004;-92800003
звёзды,85,media_popculture,debatable,A site tag can carry several cultural or stylistic readings; the macro-category is a semantic approximation.,-1092600011;-1123100005;-10095264;-10080386;-9994286
Рабинович,77,literature_folklore_characters,debatable,A site tag can carry several cultural or stylistic readings; the macro-category is a semantic approximation.,-482400001;14517;-61500004;-112000002;-1072700004
школа,76,education_children,confident,The raw tag has a direct semantic match to the assigned macro-category.,14184;-9990009;38365;47288;64410
секс,73,sex_gender,confident,The raw tag has a direct semantic match to the assigned macro-category.,96914;476670;476492;481729;503033
спорт,73,sport,confident,The raw tag has a direct semantic match to the assigned macro-category.,-62800005;-92500005;-102700004;-1022500010;-1072700004
кошки,71,animals,confident,The raw tag has a direct semantic match to the assigned macro-category.,46591;97126;158326;354982;403871
водка,70,alcohol_smoking_drugs,confident,The raw tag has a direct semantic match to the assigned macro-category.,471123;481471;486943;491296;491698
авиация,68,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,-412400007;-461500003;-512700007;-523100008;15631
тв,66,media_popculture,confident,The raw tag has a direct semantic match to the assigned macro-category.,247726;273138;292348;305943;314386
коррупция,55,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",337583;371871;375970;381592;381451
погода,53,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-10004612;138728;224708;292574;304909
объявления,51,consumer_services,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",191167;190079;224544;237698;248302
русский язык,50,textual_forms,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",15104;-10037720;78664;195793;273148
армия,48,army_police,confident,The raw tag has a direct semantic match to the assigned macro-category.,14514;-1102900001;-2062300009;-10018525;-9994293
Медведев,48,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",381455;403332;407808;443927;457064
сигареты,48,alcohol_smoking_drugs,confident,The raw tag has a direct semantic match to the assigned macro-category.,24696;38516;102484;106871;230561
блондинки,47,sex_gender,debatable,A site tag can carry several cultural or stylistic readings; the macro-category is a semantic approximation.,112265;185566;195377;236962;268577
реклама,46,consumer_services,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",207526;231838;268069;273312;301361
мобильный,45,it_internet,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",121102;163985;182037;190437;207526
отдых,45,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-10095208;-10018524;59989;93249;92085
футбол,45,sport,confident,The raw tag has a direct semantic match to the assigned macro-category.,438669;438505;437900;544185;550943
пенсионеры,44,health_medicine,confident,The raw tag has a direct semantic match to the assigned macro-category.,507980;527428;532767;631603;677349
Дед Мороз,43,media_popculture,confident,The raw tag has a direct semantic match to the assigned macro-category.,-9999662;-9999681;-9999691;-10004616;-9995059
новые русские,43,ethnic_regional,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",15134;13152;12799;14561;15754
windows,40,it_internet,formal_or_technical,"The tag denotes a text form, medium, service, or technical object rather than a topical gold label.",-61400005;-92200002;-102600005;-1102800010;-1102300007
диета,40,food_diet,confident,The raw tag has a direct semantic match to the assigned macro-category.,-52600001;-10095263;-10095262;-10069739;-10053123
программист,39,work_professions,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",15133;-1073100007;-10080397;-10059094;19488
фильмы,39,media_popculture,confident,The raw tag has a direct semantic match to the assigned macro-category.,51015;78495;78071;83761;207508
Москва,37,cities_places,confident,The raw tag has a direct semantic match to the assigned macro-category.,471503;471277;471284;471289;471292
Ржевский,37,literature_folklore_characters,debatable,A site tag can carry several cultural or stylistic readings; the macro-category is a semantic approximation.,-412300007;-432500003;-451000007;-471700002;-471400003
чапаев,35,literature_folklore_characters,debatable,A site tag can carry several cultural or stylistic readings; the macro-category is a semantic approximation.,-422500001;-452600001;-451100001;-451100003;-451100004
космос,33,science_space,confident,The raw tag has a direct semantic match to the assigned macro-category.,63863;97114;126776;125987;139537
наркотики,33,alcohol_smoking_drugs,confident,The raw tag has a direct semantic match to the assigned macro-category.,-413100002;-503100004;15578;10893;-1112600003
аптека,32,health_medicine,confident,The raw tag has a direct semantic match to the assigned macro-category.,10473;-1012800001;-1092200004;-1103100005;-1103100012
соседи,31,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",477027;476870;481458;481470;486444
геи,30,sex_gender,confident,The raw tag has a direct semantic match to the assigned macro-category.,-10011025;19710;231438;230278;248168
милиция,30,army_police,confident,The raw tag has a direct semantic match to the assigned macro-category.,-2042700006;-2072900007;121104;196205;213603
кино,29,media_popculture,confident,The raw tag has a direct semantic match to the assigned macro-category.,14593;-9938613;64576;101679;112259
поезд,29,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,-492700011;12065;13043;11207;-61400003
налоги,28,finance_economy,confident,The raw tag has a direct semantic match to the assigned macro-category.,248299;273565;329708;333628;399001
Шерлок Холмс,28,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-482600006;-492900003;-492800005;-42500028;-42500029
свадьба,27,family_relationships,confident,The raw tag has a direct semantic match to the assigned macro-category.,19479;97121;287733;300923;318833
смс,27,it_internet,confident,The raw tag has a direct semantic match to the assigned macro-category.,73945;73447;134048;164160;219143
собаки,27,animals,confident,The raw tag has a direct semantic match to the assigned macro-category.,394323;394171;399252;471312;477064
такси,27,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,-442000003;-462000014;-492900007;-502500003;15490
тёща,27,family_relationships,confident,The raw tag has a direct semantic match to the assigned macro-category.,18370;27818;59545;83894;132720
парашют,26,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,-442400002;-462000005;-472300006;-42500040;-1022200010
приметы,26,everyday_life,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",12750;-101800004;-1122900005;-10090611;-10053152
Штирлиц,26,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,13454;-10090606;-10069690;-10026343;-10026376
кризис,24,finance_economy,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",-1022400002;372016;384960;407808;424793
любовь,23,family_relationships,confident,The raw tag has a direct semantic match to the assigned macro-category.,517902;544364;626480;640891;645125
автобус,22,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,14839;14688;55806;83050;144273
кредиты,22,finance_economy,confident,The raw tag has a direct semantic match to the assigned macro-category.,287066;305943;366606;403874;481295
санкции,22,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",38155;366608;693337;693861;710376
Трамп,22,politics_power,broad_category,"The observed tag is broad, so the mapping is intentionally coarse and should be interpreted cautiously.",838880;848836;863861;868908;868909
Сочи 2014,21,sport,confident,The raw tag has a direct semantic match to the assigned macro-category.,236680;273876;300565;305653;313780
Винни-Пух,20,literature_folklore_characters,confident,The raw tag has a direct semantic match to the assigned macro-category.,-413100001;-421900013;-482900001;-502400019;14238
лифт,20,transport,confident,The raw tag has a direct semantic match to the assigned macro-category.,15133;12747;-42500015;-1042400016;-2022600009
пиво,20,alcohol_smoking_drugs,confident,The raw tag has a direct semantic match to the assigned macro-category.,-92800005;-92500004;-101900001;-111800005;-122800008
пошлые,19,sex_gender,debatable,A site tag can carry several cultural or stylistic readings; the macro-category is a semantic approximation.,433438;544377;551095;551078;563125
apple,18,it_internet,confident,The raw tag has a direct semantic match to the assigned macro-category.,433611;457066;457067;456924;456925
армянское радио,18,literature_folklore_characters,debatable,A site tag can carry several cultural or stylistic readings; the macro-category is a semantic approximation.,11078;-22200004;-111700002;-1121300004;-2022500002
тараканы,18,animals,confident,The raw tag has a direct semantic match to the assigned macro-category.,-83000010;96924;190442;231690;324411
