cluster_final,rank,score,id,year,month,tags_raw,macro_tags,text_preview
0,1,0.38332951068878174,853356,2016,10,"[""Украина""]","[""politics_power""]","То, что Порошенко поднялся в рейтинге богатейших украинцев на 4-е место, - это элемент гибридной войны России по дискредитации президента Украины."
0,2,0.41055184602737427,1124090,2020,6,"[""Путин""]","[""politics_power""]","Чем больше вводят санкций против России, тем больше появляется президентских сроков у Путина."
0,3,0.4200524687767029,538320,2011,10,"[""политика""]","[""politics_power""]",Президент Медведев – гарант Конституции РФ. Премьер Путин – гарант президента Медведева.
0,4,0.4304761290550232,544169,2011,11,"[""Путин""]","[""politics_power""]","Путин должен быть президентом России, потому что никто лучше него не установит в стране порядок, чтобы сделать страну сильной и способной к военному противостоянию с Западом, угроза которого будет только расти благодаря политике Путина."
0,5,0.4307820796966553,532743,2011,9,"[""политика""]","[""politics_power""]","На самом деле в истории России случился поворотный момент: теперь два срока президентом будет ВВП, затем восстанет ЕБ, а там уже и до генсеков рукой подать."
0,6,0.44886642694473267,1208682,2021,4,"[""Путин""]","[""politics_power""]","Путин призвал депутатов не давать гражданам невыполнимых обещаний. Это конечно правильно, но когда российские депутаты (и лично Путин) давали невыполнимые обещания? Все их обещания всегда были выполнимы! А то, что они так и не выполнялись - так это из-за погодных условий, санкций, и подрывной деяте…"
0,7,0.4527878165245056,1172008,2020,12,"[""Медведев""]","[""politics_power""]","В связи с принятием закона о неприкосновенности бывших президентов, по ходу, Медведев может стать самым дорогим киллером России."
0,8,0.46539604663848877,898878,2017,7,"[""санкции""]","[""politics_power""]","За введение новых санкций против России проголосовало 99% американских сенаторов и конгрессменов. Как заявил российский МИД, это свидетельствует об острой внутриполитической борьбе в Соединенных Штатах."
1,1,0.36865538358688354,817881,2016,3,"[""муж и жена""]","[""family_relationships""]","Жена мужу: - Ты работу любишь больше, чем меня! - С чего ты взяла? - У тебя вечером, перед сексом со мной, ТАК не стоит, как утром перед работой!"
1,2,0.38145554065704346,727705,2014,10,"[""муж и жена""]","[""family_relationships""]","Жена спрашивает мужа: - Что у тебя с пальцем? - Порезал. ------------------------ Муж спрашивает жену: - Что у тебя с пальцем? - Ты представляешь, тут такая история! Пошла я, значит, с утра за молоком и дай, думаю, зайду к Люське. Ну, ты её знаешь, она ещё в магазине работала... Спустя 10 минут...…"
1,3,0.38691312074661255,597609,2012,8,"[""девушки"", ""мужчины""]","[""sex_gender""]","- Как у тебя с твоей девушкой? - Мы расстались. - А чего? - Поругались. Она кричит: - Ты не любишь меня. Я ей: - Оля, да люблю я тебя! - А она? - А она Лена."
1,4,0.39304423332214355,527762,2011,8,"[""смс""]","[""it_internet""]","Разговаривают два друга: - Она мне вчера смс прислала: Если ты меня любишь, то позвони мне! - Ну... ты позвонил? - Нет - Мужииик! А она тебе позвонила? - Нет - Вот сука!"
1,5,0.4035380482673645,1520946,2025,4,"[""муж и жена"", ""работа"", ""секс""]","[""family_relationships"", ""sex_gender"", ""work_professions""]","Звонит муж жене с работы: - Алло, дорогая, приезжай ко мне в офис, устроим ураганный секс прямо на столе! - Так у тебя ж секретарша... - А что, можно? Ну тогда всё, пока!"
1,6,0.4131448268890381,1047060,2019,9,"[""деньги"", ""муж и жена""]","[""family_relationships"", ""finance_economy""]","Муж говорит жене: - Когда тебе нужны деньги, ты мила и любезна со мной. - Но я всегда любезна с тобой. - Вот именно!"
1,7,0.4191809892654419,663312,2013,10,"[""о жизни"", ""объявления""]","[""consumer_services"", ""absurd_philosophy""]","- Здравствуйте, я по объявлению! А дублёнка за 3 тысячи у вас какого размера? - А вам какой надо? - Мне бы 52-ой! - Подберём! - Ой, простите, а на жену не найдётся тоже чего-нибудь недорого? - Найдём! - Простите ещё великодушно за нескромный вопрос, а у вас в магазине распродажа что ли? - Распродаж…"
1,8,0.41970735788345337,822937,2016,4,"[""муж и жена""]","[""family_relationships""]","Жена причитает: - Как ты мог, Вася! Ну как же ты мог! Муж: - Лена, ты о чём?! Что такое? Жена, не обращая внимания, продолжает: - Как ты мог! Эх, Вася-Вася... - Да что ты, Лена, ведь я же ничего... Жена, перебивая: - Вот именно, Вася! Ты ничего! Ничего ты уже не можешь. А как ты мог, Вася! Как же т…"
2,1,0.41910499334335327,672713,2013,12,"[""девушки""]","[""sex_gender""]","С женским телом всегда легче договориться, чем с самой женщиной."
2,2,0.4243085980415344,812364,2016,2,"[""мужчины""]","[""sex_gender""]","Упрекать девушку в недостатках — это не по-мужски. Девушку нужно принимать такой, какая она есть. И потихоньку начинать подыскивать другую."
2,3,0.4273526668548584,517902,2011,6,"[""девушки"", ""любовь""]","[""family_relationships"", ""sex_gender""]","Женщину надо любить так, чтобы ей в голову не пришло, что кто-то другой может любить её сильнее."
2,4,0.4395385980606079,626335,2013,2,"[""мужчины""]","[""sex_gender""]",У настоящих мужчин — женщина счастливая. У остальных — сильная.
2,5,0.44193899631500244,502637,2011,3,"[""муж и жена""]","[""family_relationships""]",Молодая жена продлевает мужчине молодость и укорачивает жизнь.
2,6,0.4735751152038574,486442,2010,12,"[""девушки""]","[""sex_gender""]","Бог создал девушку, а мужчина - женщину."
2,7,0.4776667356491089,636206,2013,4,"[""девушки"", ""мужчины""]","[""sex_gender""]",Между дружбой мужчины и женщины постоянно что-то встаёт...
2,8,0.4793558120727539,1358237,2022,10,"[""муж и жена""]","[""family_relationships""]","Жена может с пониманием отнестись к измене, если это не её муж, и с ней."
3,1,0.4237782955169678,242342,2006,7,"[""бесплатное""]","[""everyday_life""]","Работать надо так, чтобы не было мучительно больно за бесплатно потраченное время."
3,2,0.43752992153167725,1000165,2019,2,"[""о жизни""]","[""absurd_philosophy""]","Пока собираешься начать вести здоровый образ жизни - нет уже ни образа, ни жизни."
3,3,0.4622083902359009,641054,2013,5,"[""о жизни""]","[""absurd_philosophy""]","Улыбка - это не признак наличия у человека позитива, это признак умения игнорировать окружающее его дерьмо."
3,4,0.4752900004386902,658399,2013,9,"[""работа""]","[""work_professions""]","Творческая профессия - это когда человек готов горы свернуть, лишь бы ни х*я не делать."
3,5,0.4752923846244812,1098817,2020,3,"[""о жизни"", ""политика""]","[""politics_power"", ""absurd_philosophy""]",В тёмные времена главное не засветиться.
3,6,0.47881370782852173,710530,2014,7,"[""о жизни""]","[""absurd_philosophy""]","Страшно не принять решение, а пережить его последствия."
